,mean,std,median,min,max
LSSVM (Standard),0.8375,0.144,0.8602,0.4418,1.0
LSSVM-DualFISTA,0.8368,0.1475,0.864,0.4277,1.0
LSSVM-Nystrom,0.8359,0.1373,0.8664,0.4704,1.0
LSSVM-IP,0.831,0.1473,0.8581,0.4713,1.0
LSSVM-FSA,0.8286,0.1463,0.854,0.425,1.0
LSSVM-PCP,0.8268,0.1274,0.8437,0.5362,1.0
XGBoost,0.8263,0.1383,0.8602,0.4704,1.0
LSSVM-ADMM,0.806,0.1413,0.8346,0.5286,1.0
LSSVM-ADMM-Elastic,0.8058,0.1411,0.8342,0.5286,1.0
LSSVM-FISTA,0.7835,0.1262,0.8103,0.4957,0.9917
LSSVM-OppMaps,0.759,0.2139,0.826,0.2612,1.0
LSSVM-Pruning,0.7062,0.2082,0.6969,0.2042,1.0
